"param_id","eir_equil","sig_het","ff","trial_duration","trial_PQ_eff_stratum_1","trial_PQ_eff_stratum_2","trial_PQ_prop_stratum_1","trial_PQ_prop_stratum_2","trial_PQ_proph","is_LLIN_distributed","is_IRS_administered","eff_cph_recurrent_LM","eff_cph_recurrent_PCR","eff_cph_recurrent_D","eff_cph_any_relapse_LM","eff_cph_any_relapse_PCR","eff_cph_relapse_LM_trial","eff_cph_relapse_PCR_trial","eff_cph_relapse_D_trial","eff_cph_relapse_LM_all","eff_cph_relapse_PCR_all","eff_cph_relapse_D_all","eff_incid_recurrent_PCR","eff_incid_recurrent_LM","eff_incid_recurrent_D","eff_incid_any_relapse_PCR","eff_incid_any_relapse_LM","eff_incid_any_relapse_D","eff_incid_relapse_PCR","eff_incid_relapse_LM","eff_incid_relapse_D","eff_incid_trial_PCR","eff_incid_trial_LM","eff_incid_trial_D","eff_risk_relapse_PCR","eff_risk_relapse_LM","eff_risk_relapse_D","eff_risk_trial_PCR","eff_risk_trial_LM","eff_risk_trial_D"
562,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.807515808879315,0.829085579622708,0.796670897186791,0.815121118331728,0.836694451234283,0.815848768797458,0.842704346403145,0.806896420128138,0.850251603379715,0.857011377634235,0.573075171505016,0.709380742524751,0.727875101896325,0.71863642876682,0.719702915392704,0.73473131154585,0.724303801456726,0.751966275698546,0.765652096476345,0.764464898653745,0.756334953717141,0.770538029181885,0.764083013832262,0.768929503916449,0.770514603616134,0.765350877192982,0.739446870451237,0.75049115913556,0.75175644028103
563,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.799327684450519,0.834999983797142,0.786068564663631,0.79690222518444,0.832704985997049,0.798144679078812,0.83671114833561,0.788964459862496,0.847706201469946,0.858734034435545,-0.108431693263744,0.739570585526278,0.747233565415384,0.736969135153312,0.745302132163446,0.749608220045238,0.738823791111373,0.763632067080343,0.768859055133565,0.767949051413618,0.771105819414998,0.78962114942861,0.783961029244048,0.783398184176394,0.785112359550562,0.785714285714286,0.766906474820144,0.772727272727273,0.772727272727273
564,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.825494546700898,0.843287417391086,0.819705500334188,0.82889061532907,0.847567586402567,0.833422435358189,0.852715538573133,0.827625852335886,0.854596403294464,0.863279966033372,0.123531057763603,0.732174311926606,0.742634723086497,0.730592258064516,0.74191217257319,0.751343339587242,0.735406976744186,0.771138181818182,0.779753000631712,0.780738961038961,0.762306896551724,0.77996113074205,0.783960812772134,0.785992217898833,0.785813630041725,0.790849673202614,0.758571428571429,0.773175542406312,0.778823529411765
565,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.753931348657757,0.784835766146995,0.75077605289264,0.762927544390752,0.790119183586386,0.766183777950568,0.797796918769772,0.756104916345867,0.792595190713848,0.810152339596727,-0.213856457145691,0.667352185089974,0.686445971267958,0.702774108322325,0.683359415753782,0.696586599241467,0.709163346613546,0.711040676175383,0.721049264235445,0.740641711229947,0.719833564493759,0.73729863692689,0.747774480712166,0.731241473396999,0.72172619047619,0.736238532110092,0.703703703703704,0.713692946058091,0.725301204819277
566,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.763952443749641,0.791627342041681,0.759262572123382,0.773931462389472,0.799383619801799,0.786329510193421,0.809751610780386,0.783020594547094,0.80311772654555,0.819736431487578,-0.00101292166007738,0.691801619433198,0.672183322724379,0.697994987468672,0.69948717948718,0.678249678249678,0.707594936708861,0.725612936880543,0.709719504240052,0.751592356687898,0.7266530334015,0.733720930232558,0.73876404494382,0.733333333333333,0.727011494252874,0.740425531914894,0.701780415430267,0.71,0.71753986332574
567,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.783399920014607,0.818215376257704,0.761927613438201,0.788388521327668,0.822397769834127,0.79221654025178,0.828439497845293,0.764844051879052,0.835845270707765,0.840876930386679,-0.503746251158049,0.71360153256705,0.697258641239571,0.692397660818713,0.720760233918129,0.70392749244713,0.694935217903416,0.744151319064211,0.731453096259963,0.726516052318668,0.743216412971542,0.740245261984392,0.751668891855808,0.757217847769029,0.762688614540466,0.720250521920668,0.738060781476122,0.734225621414914,0.724215246636771
568,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.802365143748335,0.820603051191368,0.805706322259661,0.818602674873412,0.833382851298587,0.822314602694638,0.836831953416565,0.821023226498964,0.832021225798809,0.842602013508486,-0.230683570269678,0.731083844580777,0.724483406386976,0.729426433915212,0.741818181818182,0.736340533672173,0.741813602015113,0.766737513283741,0.762833008447044,0.776081424936387,0.765034965034965,0.760282021151586,0.776988636363636,0.767567567567567,0.764876632801161,0.774891774891775,0.739970282317979,0.75751503006012,0.775229357798165
569,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.808460039777948,0.819610780363129,0.810299171535134,0.819265188881147,0.831486647655777,0.818116894364591,0.834822378779618,0.818288285611856,0.844085818568163,0.850186100513859,0.11982129250187,0.728736385542169,0.741520943952802,0.775236230110159,0.744788114953726,0.753470238095238,0.78080736196319,0.761627353815659,0.76811707905854,0.798184956843403,0.751662009314704,0.778739789964994,0.795863636363636,0.761658031088083,0.768595041322314,0.799154334038055,0.728958630527817,0.7573385518591,0.774418604651163
57,0.1,0,0.01538462,180,1,0,0.75,0.25,28,1,0,0.803297716947535,0.829871080868255,0.793772076306358,0.803918927984063,0.829022962147984,0.807701143156398,0.831381349651039,0.798640237317781,0.824866890756507,0.831603228832249,-0.400124772641084,0.715042372881356,0.709677419354839,0.713950762016413,0.717472118959108,0.711233211233211,0.715294117647059,0.732942430703625,0.727495407225965,0.738770685579196,0.768199233716475,0.765294771968854,0.76953642384106,0.751004016064257,0.749299719887955,0.746534653465347,0.752503576537911,0.757575757575758,0.758547008547009
570,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.757223816045112,0.796846773904847,0.765933634153387,0.762821168037117,0.801673358006939,0.763842284321853,0.808142623403188,0.767984079811018,0.809190007449512,0.819882402613557,0.228301395889889,0.644387429567655,0.651746115181182,0.662327055070525,0.651825389910255,0.657292417347009,0.665929198178703,0.68218057177856,0.690450668779419,0.708194987761501,0.686040104649217,0.688399604225555,0.706227672736778,0.720261437908497,0.716459197786999,0.712809917355372,0.700427960057061,0.695145631067961,0.717777777777778
571,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.780423402488682,0.797909298338796,0.755749939901076,0.784534208512053,0.807747235793025,0.791943751068821,0.814358379240155,0.763615486117406,0.826251506454517,0.844777275487164,-0.24897866336023,0.711231285988484,0.702658980582524,0.70881598062954,0.7217490234375,0.713628078817734,0.715728606356968,0.735487817006464,0.729239348370927,0.738209359605911,0.731509186351706,0.739171650055371,0.72464333781965,0.753585397653194,0.747159090909091,0.739957716701903,0.703170028818444,0.726235741444867,0.720357941834452
572,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.800890767056545,0.824497654272273,0.786392287609683,0.807876111731116,0.824489921294518,0.81886637447701,0.835775268457489,0.798307307104566,0.839241342562445,0.846349415832483,0.381289714589232,0.701226010424002,0.691644837365192,0.723998895995584,0.709484065778026,0.699337811350028,0.726836060540865,0.737497420937696,0.728585185212726,0.753765438419418,0.734665605329088,0.746231593622027,0.750831450134311,0.767105263157895,0.7663421418637,0.767741935483871,0.739568345323741,0.748091603053435,0.747126436781609
573,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.779556435140056,0.821904443087559,0.776147587557346,0.790026630832807,0.827583950837782,0.792129825015315,0.835710847527847,0.791467738610652,0.836703146333143,0.846499879110182,0.0037825532043696,0.71831475748194,0.718756997455471,0.701732660781841,0.726863157894737,0.725937823834197,0.709928297055058,0.749559504577275,0.747199735449735,0.739144343302991,0.746484254723583,0.744587677725118,0.755854077253219,0.770666666666667,0.769121813031161,0.75531914893617,0.74235807860262,0.733067729083665,0.743119266055046
574,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.784987436733854,0.808969466945154,0.785356326898603,0.799979597968834,0.821967935104455,0.805919975009454,0.831356038981947,0.800724236873449,0.832528954203881,0.843749186434603,0.14186387162054,0.734586743796632,0.738455795462921,0.766154712519432,0.746176506393148,0.750200110128124,0.776487171445155,0.767615843502014,0.772555058095763,0.798107286029991,0.756370126740497,0.77581164591243,0.783161908502508,0.760898282694848,0.757834757834758,0.765726681127983,0.71988388969521,0.736842105263158,0.750582750582751
575,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.800785089195169,0.834761297819289,0.811878002287091,0.807998353803054,0.838722780827025,0.814103771182393,0.844862432082714,0.819289864876341,0.847425215426375,0.850584656556061,-0.168433948467753,0.735128658354153,0.734564661749128,0.748459800006192,0.744612647838454,0.741300539336144,0.751376864510805,0.761902636035441,0.761725678444137,0.780172329191937,0.777406341371512,0.769354608064285,0.792110745169067,0.769946808510638,0.778248587570621,0.785871964679912,0.755426917510854,0.755952380952381,0.785377358490566
576,0.1,2,0.01538462,180,1,0,0.75,0.25,28,1,0,0.784917950660679,0.816779264207118,0.763534708573332,0.785291967188193,0.81891376991484,0.785989190153525,0.822047094792014,0.765736269545426,0.830714889463452,0.840239561560999,-0.068265971302232,0.70389085396665,0.710099750623441,0.720606826801517,0.711430035879036,0.713836477987421,0.723700887198986,0.729307652264446,0.731257941550191,0.746819338422392,0.741016949152542,0.754694835680751,0.744318181818182,0.757255936675462,0.756680731364276,0.744034707158351,0.736842105263158,0.738522954091816,0.727482678983834
